Country,Rating,Status,Trend
Panama,4,Systematic violations of rights,Worsening
Peru,4,Systematic violations of rights,Stable
Senegal,4,Systematic violations of rights,Stable
Serbia,4,Systematic violations of rights,Stable
Sierra Leone,4,Systematic violations of rights,Stable
Sri Lanka,4,Systematic violations of rights,Stable
Tanzania,4,Systematic violations of rights,Stable
Trinidad and Tobago,4,Systematic violations of rights,Stable
Uganda,4,Systematic violations of rights,Stable
United Kingdom,4,Systematic violations of rights,Stable
United States of America,4,Systematic violations of rights,Stable
Vietnam,4,Systematic violations of rights,Stable
Zambia,4,Systematic violations of rights,Stable
Albania,3,Regular violations of rights,Stable
Armenia,3,Regular violations of rights,Stable
Bahamas,3,Regular violations of rights,Stable
Belgium,3,Regular violations of rights,Stable
Belize,3,Regular violations of rights,Stable
Bolivia,3,Regular violations of rights,Stable
Bosnia and Herzegovina,3,Regular violations of rights,Stable
Bulgaria,3,Regular violations of rights,Stable
Canada,3,Regular violations of rights,Stable
Chile,3,Regular violations of rights,Stable
Congo (Republic of),3,Regular violations of rights,Stable
Côte d'Ivoire,3,Regular violations of rights,Stable
Gabon,3,Regular violations of rights,Stable
Jamaica,3,Regular violations of rights,Stable
Mauritius,3,Regular violations of rights,Stable
Mexico,3,Regular violations of rights,Improving
Montenegro,3,Regular violations of rights,Stable
Morocco,3,Regular violations of rights,Stable
Mozambique,3,Regular violations of rights,Stable
Namibia,3,Regular violations of rights,Stable
Nepal,3,Regular violations of rights,Stable
Oman,3,Regular violations of rights,Improving
Paraguay,3,Regular violations of rights,Stable
Poland,3,Regular violations of rights,Stable
Romania,3,Regular violations of rights,Stable
Rwanda,3,Regular violations of rights,Stable
South Africa,3,Regular violations of rights,Stable
Switzerland,3,Regular violations of rights,Stable
Togo,3,Regular violations of rights,Stable
Australia,2,Repeated violations of rights,Improving
Barbados,2,Repeated violations of rights,Stable
Croatia,2,Repeated violations of rights,Stable
Czechia,2,Repeated violations of rights,Stable
Dominican Republic,2,Repeated violations of rights,Stable
Estonia,2,Repeated violations of rights,Stable
Finland,2,Repeated violations of rights,Stable
France,2,Repeated violations of rights,Stable
Ghana,2,Repeated violations of rights,Stable
Italy,2,Repeated violations of rights,Worsening
Japan,2,Repeated violations of rights,Stable
Latvia,2,Repeated violations of rights,Stable
Lithuania,2,Repeated violations of rights,Stable
Malawi,2,Repeated violations of rights,Stable
Moldova,2,Repeated violations of rights,Stable
Netherlands,2,Repeated violations of rights,Stable
New Zealand,2,Repeated violations of rights,Stable
Portugal,2,Repeated violations of rights,Stable
Singapore,2,Repeated violations of rights,Stable
Slovakia,2,Repeated violations of rights,Stable
Spain,2,Repeated violations of rights,Stable
Taiwan,2,Repeated violations of rights,Stable
Uruguay,2,Repeated violations of rights,Stable
Austria,1,Sporadic violations of rights,Stable
Denmark,1,Sporadic violations of rights,Stable
Germany,1,Sporadic violations of rights,Stable
Iceland,1,Sporadic violations of rights,Stable
Ireland,1,Sporadic violations of rights,Stable
Norway,1,Sporadic violations of rights,Stable
Sweden,1,Sporadic violations of rights,Stable
